--stype            	string 	Indicates if the sequences to align are protein or nucleotide (DNA/RNA).
--informat         	string 	Format of the input sequence similarity search result or multiple sequence alignment to be processed.
--outputformat     	string 	Output format for the alignment.
--htmlmarkup       	string 	Amount of HTML markup to be used in the result.
--css              	boolean	Use Cascading Style Sheets
--pcid             	string 	Compute percent identities with respect to
--alignment        	boolean	Show or hide the aligned sequences.
--ruler            	boolean	Show or hide the ruler showing the sequence coordinates.
--width            	integer	Width of output alignment.
--coloring         	string 	Basic style of coloring
--colormap         	string 	Color map
--groupmap         	string 	Group map
--consensus        	boolean	Show or hide consensus sequence derived from the alignment.
--concoloring      	string 	Basic style of consensus coloring
--concolormap      	string 	Consensus color map
--congroupmap      	string 	Consensus group map
--congaps          	boolean	Count gaps during consensus compuatations
--sequence         	alignment	Sequence similarity search result (e.g. BLAST or FASTA search report) or a multiple sequence alignment.
